case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_083,2,distributed_components,546975,543456,3519,25.183300744742155,5.62164449878037
case_083,3,distributed_components,442860,436908,5952,24.784992896020412,6.6860893201082945
case_083,4,distributed_components,423490,417384,6106,25.635069552809,5.8899426609277725
case_083,5,distributed_components,393935,391729,2206,26.186233619228005,6.48614857159555
case_084,2,distributed_components,1254745,1254320,425,76.92538088560104,24.71675954386592
case_084,3,distributed_components,836168,836116,52,75.19333186373115,22.851336436346173
case_084,4,distributed_components,629028,629028,0,69.95107381232083,18.018391074612737
case_084,5,distributed_components,503472,503472,0,66.91457380354404,16.91088923998177
case_085,2,dominant_component,2355729,2334501,21228,140.80371460318565,37.96631759032607
case_085,3,dominant_component,1827923,1626396,201527,132.67197467572987,37.57386525347829
case_085,4,dominant_component,1615365,1324330,291035,145.61024894937873,40.03918278589845
case_085,5,dominant_component,1506394,1169044,337350,141.87460941262543,40.380021715536714
case_086,2,dominant_component,103009,102016,993,24.721857571974397,7.776772182434797
case_086,3,dominant_component,97297,97297,0,25.360366286709905,8.247815499082208
case_086,4,dominant_component,98847,98592,255,26.782029585912824,8.920404953882098
case_086,5,dominant_component,99574,99507,67,28.310688039287925,8.929047355428338
case_087,2,distributed_components,2016479,1987606,28873,247.3514994326979,63.14115027152002
case_087,3,distributed_components,1374901,1374901,0,248.6164991557598,61.113952688872814
case_087,4,distributed_components,1046846,1046846,0,241.28333469107747,63.742907801643014
case_087,5,distributed_components,833349,833349,0,255.24044565670192,63.43216408602893
case_088,2,dominant_component,163889,163881,8,22.328686209395528,5.353497132658958
case_088,3,dominant_component,153688,153688,0,20.426760064437985,5.154321368783712
case_088,4,dominant_component,153194,153194,0,20.209313191473484,5.56152300350368
case_088,5,dominant_component,151301,151301,0,20.264280365779996,5.621330378577113
case_089,2,distributed_components,346832,346832,0,25.711657159030437,7.052666466683149
case_089,3,distributed_components,243614,243614,0,25.462934624403715,7.062917646020651
case_089,4,distributed_components,178160,178160,0,25.497980792075396,7.342260282486677
case_089,5,distributed_components,147432,147432,0,25.02821479178965,6.453116927295923
case_090,2,distributed_components,644300,625263,19037,9.888113280758262,2.376230275258422
case_090,3,distributed_components,551031,550183,848,9.079612009227276,2.2278659902513027
case_090,4,distributed_components,529217,527825,1392,8.715650303289294,2.0160062424838543
case_090,5,distributed_components,511539,509204,2335,9.537286520004272,2.135317811742425
case_091,2,distributed_components,4571759,4571759,0,288.93964010477066,69.70885555632412
case_091,3,distributed_components,3090094,3070918,19176,282.5541688799858,67.55681827291846
case_091,4,distributed_components,2315897,2315897,0,286.6601854376495,71.52822026610374
case_091,5,distributed_components,1882479,1880163,2316,288.8641585242003,70.22258942201734
case_092,2,distributed_components,2414282,2412929,1353,159.5747605636716,29.71067858673632
case_092,3,distributed_components,2109464,2109464,0,152.4129993263632,29.6761759724468
case_092,4,distributed_components,2049809,2037129,12680,141.93849057890475,31.358626570552588
case_092,5,distributed_components,1661234,1661234,0,167.72028519026935,39.71029646508396
case_093,2,distributed_components,37827,37827,0,0.9925409000134096,0.24431729991920292
