case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
18,2,legacy,502491,2638848,1004367,1.998776097482343,12,11,1,5.910384263843298,0.49579787999391556,True,502491
18,2,routed,502491,2638848,1004367,1.998776097482343,12,11,1,5.752759750932455,0.4555237405002117,True,502491
18,3,legacy,337417,3971072,1004367,2.9766342537572203,12,11,1,6.464852217584848,0.4856574069708586,True,337417
18,3,routed,337417,3971072,1004367,2.9766342537572203,12,11,1,6.568252874538302,0.4964731838554144,True,337417
18,4,legacy,253676,4938752,1004367,3.9592511707847806,12,11,1,7.622670270502567,0.47847740910947323,True,253676
18,4,routed,253676,4938752,1004367,3.9592511707847806,12,11,1,10.621434466913342,0.48359555937349796,True,253676
18,5,legacy,205917,5320704,1004367,4.8775331808447095,12,11,1,9.045332802459598,0.49856675043702126,True,205917
18,5,routed,205917,5320704,1004367,4.8775331808447095,12,11,1,8.394452510401607,0.5413109119981527,True,205917
19,2,legacy,38506,354360,81144,2.1073079520074796,12,11,1,1.3551348876208067,0.08657865785062313,True,39030
19,2,routed,38506,354360,81144,2.1073079520074796,12,11,1,1.2308769561350346,0.07585281506180763,True,39030
19,3,legacy,27716,54336,81144,2.9276951941117044,12,11,1,0.7702953238040209,0.0599906537681818,True,27716
19,3,routed,27716,54336,81144,2.9276951941117044,12,11,1,0.7784620206803083,0.0558026023209095,True,27716
19,4,legacy,22276,762456,81144,3.6426647513018495,12,12,0,1.639200136065483,0.08242933452129364,True,22276
19,4,routed,22276,762456,81144,3.6426647513018495,12,12,0,1.602489860728383,0.07800193130970001,True,22276
19,5,legacy,18267,255068,81144,4.442108720643784,12,12,0,1.335330130532384,0.06416833400726318,True,18267
19,5,routed,18267,255068,81144,4.442108720643784,12,12,0,1.3613902516663074,0.06211669556796551,True,18267
20,2,legacy,266580,0,532746,1.9984469952734638,12,10,2,17.433042965829372,1.8319903668016195,True,266580
20,2,routed,266580,0,532746,1.9984469952734638,12,10,2,15.827647913247347,1.2792082522064447,True,266580
20,3,legacy,177950,0,532746,2.993796010115201,12,10,2,22.04653807543218,1.4942158367484808,True,177950
20,3,routed,177950,0,532746,2.993796010115201,12,10,2,19.56921610981226,0.996077036485076,True,177950
20,4,legacy,133704,0,532746,3.984518039849219,12,10,2,15.1506830137223,1.050857862457633,True,133704
20,4,routed,133704,0,532746,3.984518039849219,12,10,2,18.135817509144545,1.072351973503828,True,133704
20,5,legacy,107650,0,532746,4.948871342313051,12,10,2,21.088169613853097,1.1827520728111267,True,107650
20,5,routed,107650,0,532746,4.948871342313051,12,10,2,20.399849820882082,0.9906399566680193,True,107650
21,2,legacy,3174339,33017856,6567937,2.0690723328541782,12,10,2,13.10799496434629,1.1359816286712885,True,3174339
21,2,routed,3174339,33017856,6567937,2.0690723328541782,12,10,2,17.549928640946746,2.108552308753133,True,3174339
21,3,legacy,2090922,34854912,6567937,3.141167867572296,12,10,2,17.674571765586734,1.2515406254678965,True,2092372
21,3,routed,2090922,34854912,6567937,3.141167867572296,12,10,2,20.916126677766442,1.2728555463254452,True,2092372
21,4,legacy,1550324,4608000,6567937,4.236493145948847,12,9,3,11.451029354706407,1.0643090885132551,True,1550324
21,4,routed,1550324,4608000,6567937,4.236493145948847,12,9,3,12.603791268542409,0.8021106272935867,True,1550324
21,5,legacy,1250168,11431936,6567937,5.253643510312214,12,10,2,14.800319258123636,1.6722973473370075,True,1250168
21,5,routed,1250168,11431936,6567937,5.253643510312214,12,10,2,13.616997268050909,0.9875811841338873,True,1250168
22,2,legacy,27860,145236,56780,2.0380473797559224,12,10,2,2.6122778467833996,0.15851430036127567,True,27977
22,2,routed,27860,145236,56780,2.0380473797559224,12,10,2,2.282356411218643,0.16703221201896667,True,27977
22,3,legacy,18978,13824,56780,2.9918853409210664,12,11,1,2.018233770504594,0.16118383221328259,True,18978
22,3,routed,18978,13824,56780,2.9918853409210664,12,11,1,2.0354541409760714,0.14962446503341198,True,18978
22,4,legacy,14336,20736,56780,3.960658482142857,12,11,1,3.5503651052713394,0.2606469113379717,True,14336
22,4,routed,14336,20736,56780,3.960658482142857,12,11,1,2.7286410871893167,0.2727637439966202,True,14336
