case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
60,5,180081,3733888,4.935495693604545,15.60497011616826,r07_reserve_fast
61,1,77191,0,1.0,0.0,prescribed_single_reference
61,2,39298,34560,1.9642475444042953,1.4891427718102932,r07_reserve_fast
61,3,28342,43008,2.723555147837132,1.5285980124026537,r07_reserve_fast
61,4,23892,62208,3.230830403482337,2.3076612800359726,r07_reserve_fast
61,5,18840,110592,4.097186836518047,2.8445718958973885,r07_reserve_fast
62,1,2854809,0,1.0,0.0,prescribed_single_reference
62,2,1431735,2347008,1.993950696183302,234.3553387671709,r07_reserve_fast
62,3,958567,2268672,2.9782049663716776,246.034145668149,r07_reserve_fast
62,4,722454,2603520,3.951544319776761,235.23931242339313,r07_reserve_fast
62,5,579973,2746368,4.92231362494461,269.2244532033801,r07_reserve_fast
63,1,1070397,0,1.0,0.0,prescribed_single_reference
63,2,536070,1049088,1.9967485589568525,28.130289424210787,r07_reserve_fast
63,3,358763,1262592,2.9835769017429334,30.598085893318057,r07_reserve_fast
63,4,270138,1420800,3.962408102525376,34.91720913909376,r07_reserve_fast
63,5,218917,1539072,4.8895106364512575,31.2414588034153,r07_reserve_fast
64,1,19116,0,1.0,0.0,prescribed_single_reference
64,2,14130,47620,1.3528662420382165,2.3132015354931355,r07_reserve_fast
64,3,13074,41446,1.4621385956860946,1.825912069529295,r07_reserve_fast
64,4,10160,130956,1.881496062992126,3.287855686619878,r07_reserve_fast
64,5,11391,159314,1.6781669739267844,3.2170204296708107,r07_reserve_fast
65,1,53068,0,1.0,0.0,prescribed_single_reference
65,2,25517,13968,2.0797115648391267,1.2346843834966421,r07_reserve_fast
65,3,17964,27936,2.9541304831885995,1.0201845224946737,r07_reserve_fast
65,4,13800,41904,3.8455072463768114,1.061522215604782,r07_reserve_fast
65,5,11212,55872,4.733143061006065,1.1290931832045317,r07_reserve_fast
66,1,359070,0,1.0,0.0,prescribed_single_reference
66,2,203504,1653418,1.764437062662159,21.803122710436583,r07_reserve_fast
66,3,146357,2500738,2.4533845323421497,22.910248832777143,r07_reserve_fast
66,4,116226,3806464,3.089412007640287,32.005669148638844,r07_reserve_fast
66,5,106067,3979388,3.3853130568414302,34.252645168453455,r07_reserve_fast
67,1,63834834,264449408,1.0,0.0,prescribed_single_reference
67,2,32040130,215994240,1.9923400435641179,37.136347183957696,r07_reserve_fast
67,3,21255269,159238912,3.003247524178593,44.39325178973377,r07_reserve_fast
67,4,16409509,226600576,3.8901123732587,48.891740119084716,r07_reserve_fast
67,5,13461153,229484544,4.742152028136074,45.29095431789756,r07_reserve_fast
68,1,362095,0,1.0,0.0,prescribed_single_reference
68,2,196346,1624576,1.8441679484175895,17.743837028741837,r07_reserve_fast
68,3,180284,2355384,2.0084699696035146,20.152130683884025,r07_reserve_fast
68,4,156990,2646854,2.3064844894579273,22.31524989195168,r07_reserve_fast
68,5,158423,5510878,2.285621405982717,45.9990315772593,r07_reserve_fast
69,1,25144,0,1.0,0.0,prescribed_single_reference
69,2,17030,364198,1.4764533176746917,3.723999213427305,r07_reserve_fast
69,3,14179,325098,1.7733267508286903,3.4884426593780518,r07_reserve_fast
69,4,15620,361896,1.609731113956466,2.370345838367939,r07_reserve_fast
69,5,13147,433008,1.9125275728303035,4.449118489399552,r07_reserve_fast
70,1,117300,0,1.0,0.0,prescribed_single_reference
70,2,54493,129536,2.152570054869433,1.988172397017479,r07_reserve_fast
70,3,39333,259072,2.9822286629547707,1.774206230416894,r07_reserve_fast
70,4,30080,333312,3.8996010638297873,1.8102470431476831,r07_reserve_fast
70,5,25374,449024,4.622842279498699,1.9168028607964516,r07_reserve_fast
71,1,18919,0,1.0,0.0,prescribed_single_reference
71,2,12313,171622,1.5365061317306912,1.8722297679632902,r07_reserve_fast
71,3,9867,250696,1.9174014391405696,2.2821637243032455,r07_reserve_fast
71,4,10732,223406,1.762858740216176,2.3037062603980303,r07_reserve_fast
71,5,10542,307214,1.7946309998102827,2.618009641766548,r07_reserve_fast
72,1,23897828,108613680,1.0,0.0,prescribed_single_reference
